编号|汉语|英语
K1632|结束|End
K1633|吸液量异常|Abnormal liquid absorption
K1634|异常退出。|Abnormal exit.
K1635|摇床初始化|Shaking table initializing
K1636|试剂准备中,请稍候......|Preparing reagent, please wait...
K1637|取消全选|Uncheck all
K1638|    关闭键盘|    Close the keyboard
K1639|相机自检失败|Camera self-check failed
K1640|扫码失败|Code scan failed.
K1641|扫码成功|Code scanned successfully
K1642|校准成功|Calibration successful
K1643|校准失败|Calibration Failed
K1644|请选择要删除公司名称|Please select a company name to delete
K1645|关机维护进行中，蠕动泵纯水清洗.|Shutdown maintenance in progress, Peristaltic pump cleaning.
K1646|关机维护进行中，蠕动泵管路排空.|Shutdown maintenance in progress, peristaltic pump pipeline emptying.
K1647|关机维护进行中，系统液管路清洗.|Shutdown maintenance in progress, system liquid pipeline cleaning.
K1648|关机维护进行中，系统液管路排空.|Shutdown maintenance in progress, system liquid pipeline emptying.
K1649|打开批量样本添加界面，样本信息未保存将会清空，是否继续？|Opening the batch sample adding interface. If the sample information is not saved, it will be cleared. Do you want to continue?
K1650|规则一|Rule 1
K1651|规则二|Rule 2
K1652|规则三|Rule 3
K1653|规则四|Rule 4
K1654|规则五|Rule 5
K1655|规则六|Rule 6
K1656|规则七|Rule 7
K1657|规则八|Rule 8
K16571|规则九|Rule 9
K1658|判读规则模块|Judgment rule module
K1659|试剂管理模块|Reagent management module
K1660|添加模块|Adding module
K1661|用户登录|User Login
K1662|判读规制-删除模块|Judgment rule - delete module
K1663|膜条编辑|Strip editing
K1664|膜条管理模块|Strip Management Module
K1665|膜条管理模块-删除厂家|Strip Management Module - Delete Manufacturer
K1666|登录|Login
K1667|添加|Add
K1668|判读规制修改模块|Judgment rule modification module
K1669|登录状态，未取得机器序号|Login status, device serial number not obtained
K1670|主控板硬件版本号：|Main control board hardware version:
K1671|主控板软件版本号：|Main control board software version:
K1672|主控板硬件、软件版本号|Main control board hardware and software version:
K1673|主控板版本号:|Main control board version:
K1674|该厂家膜条未添加实验流程，请联系技术支持人员，请勿进行下一步操作。|The strip from this manufacturer has not added an experimental process. Please contact technical support. Do not proceed to the next step.
K1675|测试结束，液位探测正常|End of test, liquid level detection normal
K1676|测试结束，液位探测异常|End of test, liquid level detection abnormal
K1677|第|,
K1678|次，位置|time, position
K1679|失败|Fail
K1680|停止并完成检测！|Stop and complete the detection!
K1681|显示校正图片|Dis_correction_Pic
K1682|等待上传|Waiting for upload
K1683|无阳性结果|No positive results
K1684|上传中|Uploading
K1685|已完成|Completed
K1686|未知|Unknown
K1687|功能线异常|Abnormal functional line
K1688|Cutoff线异常|Cutoff value is abnormal
K16881|检测线周围存在污渍|There are stains around the detection line
K1689|未完成检测|Incomplete detection
K1690|无结果|No results
K1691|底物液|Substrate solution
K1692|蒸馏水|Dstilled water
K1693|稀释缓冲液|Dilution buffer
K1694|终止液|Stop solution
K1695|洗涤缓冲液|Washing buffer
K1696|系统液|System fluid
K1697|通用|Common use
K1698|打开|Open
K1699|关闭|Close
K1700|是|Enable
K1701|否|Disenable
K1702|状态|Status
K1703|检测到条带|Correct
K1704|膜条详细信息|Paper information detail
K1705|背景灰度值|Background gray value
K1706|异常点占比|The proportion of outliers
K1707|有效区间宽Min|The effective interval is wide for Min
K1708|有效区间宽Max|The effective interval is wide for Max
K1709|零值系数|Null coefficient
K1710|差值|Difference value
K1711|运行或维护中不能重启，请在动作完成后再重启。|Cannot restart during operation or maintenance. Please restart after the action is completed.
K1712|扫码进行中……|Scanning……
K1713|检测停止中……|Stoping……
K1714|摇床工作中，无法暂停|The rocking bed is in running cannot be paused
K1715|正在执行小充灌量|Executing small filling volume
K1716|充灌已完成|Filling completed
K1717|正在执行大充灌量|Executing big filling volume
K1718|正在执行系统液充灌|Executing StstemLiquide filling
K1712|打印|Print
K1713|请确定是否删除？|Please confirm whether to delete it?
K1714|规则9|Rule 9
K1715|规则10|Rule 10
K1716|规则11|Rule 11
K1717|规则12|Rule 12
K1718|规则13|Rule 13
K1719|规则14|Rule 14
K1720|规则15|Rule 15
K1721|规则16|Rule 16
K1722|规则17|Rule 17
K1723|规则18|Rule 18
K1724|规则19|Rule 19
K1725|规则20|Rule 20
K1727|规则21|Rule 21
K1728|规则22|Rule 22
K1729|规则23|Rule 23
K1730|规则24|Rule 24
K1731|规则25|Rule 25
K1726|显示符号|Judge character
K1732|保存并连接|Save and Connect
K1733|发送|Send
K1734|LIS连接成功|LIS connected
K1735|LIS连接失败|LIS failure
K1736|请连接LIS服务器|LIS failure
K1737|比值|Value
K1738|打印未完成，不能关闭|Can not close,It doing print.
K1739|备份还原|Backup and Restore
K1740|最新批次结果查询|Latest Batch Query
K1741|图像矫偏阈值|Threshold for Image Correction
K1742|医院名称|Hospital
k1743|拍照功能|Camera function
K1744|打印功能|Print function
K1745|纸张规格|Paper size
K1746|发送数据|Send data
K1747|接收数据|Received data
K1748|清空|Clear data
K1749|测试结果|Test Result
K1750|请求样本|Request Sample
K1751|请进行手工加样|Please perform manual sample loading
K1752|手工完成加样后请点击[确定]按钮完成后续流程|After manual sample loading, click the [Confirm] button to complete subsequent procedures
K1753|确定要清除已设置的项目|Confirm to clear the set items
K1754|选择项目信息|Select project information
K1755|清空设置|Clear Settings
K1756|存在加样失败,设备已暂停|Sample addition failed, the device has been paused
K1757|请确认加样完成?|Please confirm that the sample addition is completed?
K1758|关闭报警声|close alarm
K1759|打印成功|Printing successful
K1760|打印失败|Printing failed
D0001|请盖上孵育盘盖子,仪器已暂停!|
D0002|请取下孵育盘盖子,仪器已暂停!|
D0003|请确认已放上盖子!!|
D0004|请确认已取下盖子!!|
K9990|检测到多个条带|Multiple strips detected
K9991|（检测到异常条带）|（Abnormal stripe detected）
K9992|（检测到异常条带）|（Abnormal stripe detected）
K9993|（检测到异常条带）|（Abnormal stripe detected）
K9994|未检测到条带|No stripe detected
K9995|（检测到异常条带）|（Abnormal stripe detected）
K9996|（检测到异常条带）|（Abnormal stripe detected）
K9997|（检测到异常条带）|（Abnormal stripe detected）
K9998|（未检测到条带正常）|（No normal bands were detected）
K9999|（未检测到条带正常）|（No normal bands were detected）
K10000|背景色异常|Background color anomaly
K10001|检测到异常条带|Abnormal stripe detected
K10002|无条带|No stripe detected
K10003|异常条带|No stripe detected
L1000|泵号:|Pump No.:
L1001|开始:|Start:
L10011|开始|Start
L1002|失败:|Failed:
L1003|完成:|Completed:
L10031|完成|Completed
L1004|摇床工作失败！|Shaking table failed to work!
L1005|风扇工作失败！|Fan failed to work!
L1006|动作停止失败|Failed to stop running
L1007|x轴电机初始化失败|Failed to initialize the X-axis motor
L1008|样本臂移液|Sampling arm transfers liquid
L1009|吸样位:|Sample suction position:
L10091|吸样位|Sample suction position
L1010|吐样位:|Sample discharge position:
L10101|吐样位|Sample discharge position
L1011|盘号:|Plate No.:
L1012|位置:|Position:
L1013|吸样下降步数:|Decrement of steps during sample suction:
L1014|吸样|Sample suction
L1015|加样|Sample addition
L1016|清洗|Cleaning
L1017|最后一次加样体积|Volume of last added sample
L1018|第1次加样|First sample addition
L1019|第2次加样|Second sample addition
L1020|充灌|Filling
L1021|获取试剂类型失败|Failed to obtain reagent type
L1022|排废液失败|Failed to discharge waste liquid
L1023|没有生成相关的实体|No related entities are generated
L1024|排废液及蠕动泵加液失败|Failed to discharge waste liquid and use peristaltic pump to fill liquid
L1025|杯高度|Cup height
L1026|在相应的位置上没有找到样本|No sample found at the corresponding location
L1027|没有设置样本位置与模条位置|Sample location and strip location are not set
L1028|样本架扫码失败|Failed to scan the code of sample rack
L1029|执行成功|Execution succeeded
L1030|执行失败|Execution failed
L1031|查询主控板硬件、软件版本号失败|Failed to query the hardware and software version numbers of the main control board
L1032|机器设备号|Device No.
L1033|主控板硬件版本号|Main control board hardware version number
L1034|主控板软件版本号|Main control board software version number
L1035|恢复电机维持电流失败|Failed to restore the motor holding current
L1036|Z轴电机初始化失败|Failed to initialize the Z-axis motor
L1037|Y轴电机初始化失败|Failed to initialize the Y-axis motor
L1038|查询Y轴电机位置失败|Failed to query the Y-axis motor position
L1039|Y轴电机运动至清洗位失败|Y-axis motor failed to move to the cleaning position
L1040|X轴电机初始化失败|Failed to initialize the X-axis motor
L1041|关闭阀|Close valve
L1042|无此阀,阀号|No such valve, valve No.
L1043|关闭阀失败,阀号:|Failed to close this valve, valve No.:
L1044|关闭摇床加热|Turn off shaking table heating
L1045|获取目录温度失败|Failed to obtain director temperature
L1046|关闭摇床加热失败|Failed to turn off shaking table heating
L1047|打开指示灯|Turn on indicator light
L1048|无此指示灯,灯号:|No such indicator light, light No.:
L1049|打开指示灯失败,灯号:|Failed to turn on the indicator light, light No.:
L1050|关闭报警指示灯|Turn off alarm indicator
L1051|关闭报警指示灯失败|Failed to turn off the alarm indicator
L1052|关闭背光灯|Turn off backlight
L1053|关闭背光灯失败|Failed to turn off backlight
L1054|关闭蜂鸣器|Turn off buzzer
L1055|关闭蜂鸣器失败|Failed to turn off buzzer
L1056|XYZ电机初始化|XYZ motor initializing
L1057|XYZ电机初始化失败|Failed to initialize XYZ motor
L1058|柱塞泵电机初始化|Plunger pump motor initializing
L1059|柱塞泵电机初始化失败|Failed to initialize plunger pump motor
L1060|摇床电机初始化|Shaking table motor initializing
L1061|摇床电机初始化失败|Failed to initialize shaking table motor
L1062|扫码器自检|Code scanner self-checking
L1063|扫码器自检失败|Failed to perform code scanner self-checking
L1064|系统液充灌失败|Failed to fill the system liquid
L1065|系统液清洗失败|Failed to clean the system liquid
L1066|蠕动泵充灌失败|Failed to fill the peristaltic pump
L1067|机械初始化失败|Failed to initialize the machine
L1068|程序被迫停止|The program was forced to stop
L1069|升降电机初始化失败|Failed to initialize lifting motor
L1070|获取试剂盘混匀步数失败|Failed to obtain the number of blending steps of reagent tray
L1071|关闭所有阀操作失败！|Failed to stop the operation of all valves!
L1072|电机以0速度转动失败！|Failed to rotate the motor at 0 speed!
L1073|恢复电机维持电流失败|Failed to restore the motor holding current
L1074|保持力矩、刹车释放、温控失败|Failed to hold torque, release brake and control temperature
L1075|蠕动泵校准失败|Failed to calibrate peristaltic pump
L1076|扫码成功|Code scanned successfully
L1077|没有此指示灯地址|No address of this indicator
L1078|电机地址不对|Incorrect motor address
L1079|阀地址不对|Incorrect valve address
L1080|充灌类型错误|Incorrect filling type
L1081|系统液充灌|System liquid filling
L1082|系统液清洗|System liquid cleaning
L1083|最后一次加样:|Last sample addition:
L1084|润湿|Wetting
L1085|加样本|Sample addition
L1086|第一次清洗|First cleaning
L1087|加酶|Enzyme addition
L1088|第二次清洗|Second cleaning
L1089|加底物|Substrate addition
L1090|加蒸馏水|Distilled water addition
L1091|加终止液|Stop solution addition
L1092|干燥|Drying
L1093|蠕动泵加液(洗涤缓冲液)|Use peristaltic pump to fill liquid (Washing buffer)
L1094|摇床震荡孵育|Incubation by the shaking of shaking table
L1095|排废液及蠕动泵加液(稀释缓冲液)|Discharge waste liquid and use peristaltic pump to fill liquid (Diluted buffer solution)
L1096|回流(稀释缓冲液回流)|Backflow (Backflow of diluted buffer solution)
L1098|第一次摇床电机初始化|First initialization of shaking table motor
L1099|第一次排废液及蠕动泵加液(洗涤缓冲液)|First discharge of waste liquid and use peristaltic pump to fill liquid (Washing buffer solution)
L1100|第一次摇床震荡孵育|First incubation by the shaking of shaking table
L1101|第二次摇床电机初始化|Second initialization of shaking table motor
L1102|第二次排废液及蠕动泵加液(洗涤缓冲液)|Second discharge of waste liquid and use peristaltic pump to fill liquid (Washing buffer solution)
L1103|第二次摇床震荡孵育|Second incubation by the shaking of shaking table
L1104|第三次摇床电机初始化|Third initialization of shaking table motor
L1105|第三次排废液及蠕动泵加液(洗涤缓冲液)|Third discharge of waste liquid and use peristaltic pump to fill liquid (Washing buffer solution)
L1106|第三次摇床震荡孵育|Third incubation by the shaking of shaking table
L1107|排废液及蠕动泵加液(结合物)|Discharge waste liquid and use peristaltic pump to fill liquid (Conjugate)
L1108|回流(结合物)|Backflow (Conjugate)
L1109|第三次回流(洗涤缓冲液)|Third backflow (Washing buffer solution)
L1110|排废液及蠕动泵加液(底物液)|Discharge waste liquid and use peristaltic pump to fill liquid (Substrate solution)
L1111|回流(底物液)|Backflow (Substrate solution)
L1112|排废液及加入蒸馏水|Discharge waste liquid and add distilled water
L1113|排废液及加入终止液STOP|Discharge waste liquid and add stop solution
L1114|回流(终止液)|Backflow (Stop solution)
L1115|排废液|Discharge waste liquid
L1116|打开加热|Turn on heating
L1117|摇床震荡+风扇干燥|Shaking by the shaking table + drying by the fan
L1118|关闭加热|Turn off heating
L1119|蠕动泵加液(稀释液)|Use peristaltic pump to fill liquid (Diluted solution)
L1120|排废液及蠕动泵加液(稀释液)|Discharge waste liquid and use peristaltic pump to fill liquid (Diluted solution)
L1121|回流(稀释液)|Backflow (Diluted solution)
L1122|第一次排废液及蠕动泵加液(清洗液)|First discharge of waste liquid and use peristaltic pump to fill liquid (Cleaning liquid)
L1123|第二次排废液及蠕动泵加液(清洗液)|Second discharge of waste liquid and use peristaltic pump to fill liquid (Cleaning liquid)
L1124|第三次排废液及蠕动泵加液(清洗液)|Third discharge of waste liquid and use peristaltic pump to fill liquid (Cleaning liquid)
L1125|回流(清洗液)|Backflow (Cleaning liquid)
L1126|摇床震荡及加热|Shaking and heating of shaking table
L1127|摇床震荡及加热+风扇干燥|Shaking and heating by the shaking table + drying by the fan
L1128|排废液及蠕动泵加液|Discharge waste liquid and use peristaltic pump to fill liquid
L1129|摇床工作|The shaking table is running
L1130|蠕动泵回流|Backflow of peristaltic pump
L1131|加热|Heating
L1132|第四次摇床电机初始化|Fourth initialization of shaking table motor
L1133|第四次排废液及蠕动泵加液(洗涤缓冲液)|Fourth discharge of waste liquid and use peristaltic pump to fill liquid (Washing buffer solution)
L1134|第四次摇床震荡孵育|Fourth incubation by the shaking of shaking table
L1135|第五次摇床电机初始化|Fifth initialization of shaking table motor
L1136|第五次排废液及蠕动泵加液(洗涤缓冲液)|Fifth discharge of waste liquid and use peristaltic pump to fill liquid (Washing buffer solution)
L1137|第五次摇床震荡孵育|Fifth incubation by the shaking of shaking table
L1138|回流(洗涤缓冲液)|Backflow (Washing buffer solution)
L1139|第三次清洗|Third cleaning
L1140|第四次清洗|Fourth cleaning
L1141|加二抗|Secondary antibody addition
L1142|排废液及蠕动泵加液(二抗)|Discharge waste liquid and use peristaltic pump to fill liquid (Secondary antibody)
L1143|回流(抗体液)|Backflow (Secondary antibody)
0x9000|样本臂吸样时Z轴电机运动至复位位置复位光耦无效|When the sampling arm sucks the sample, the Z-axis motor moves to the reset position and the reset optical coupler is invalid
0x9001|样本臂吸样时X轴电机运动至吸样位时编码器差值超48步以上|When the sampling arm sucks the sample and the X-axis motor moves to the sample suction position, the encoder difference exceeds 48 steps
0x9002|样本臂吸样时X轴电机补偿运动后编码器差值超48步以上|When the sampling arm sucks the sample, the encoder difference exceeds 48 steps after the X-axis motor moves for compensation
0x9003|样本臂吸样时Y轴电机运动至吸样位置时编码器差值超48步以上|When the sampling arm sucks the sample and the Y-axis motor moves to the sample suction position, the encoder difference exceeds 48 steps
0x9004|样本臂吸样时Y轴电机补偿运动后编码器差值超48步以上|When the sampling arm sucks the sample, the encoder difference exceeds 48 steps after the Y-axis moves for compensation
0x9005|样本臂吸样时样Z轴电机使能液位探测时右光电立即有效|When the sampling arm sucks the sample and the Z-axis motor enables the liquid level detection, the right photoelectric coupler is valid immediately
0x9006|样本臂吸样时Z轴电机运动至吸液位置发生垂直碰撞|When the sampling arm sucks the sample, the Z-axis motor moves to the liquid suction position and vertical collision occurs
0x9007|样本臂吸样时Z轴电机运动至吸液位置复位光耦有效|When the sampling arm sucks the sample, the Z-axis motor moves to the liquid suction position and the reset optical coupler is valid
0x9008|样本臂吸样时样本针柱塞泵吸样复位光耦有效|When the sampling arm sucks the sample, the sample suction reset optical coupler of the needle plunger pump is valid
0x9009|样本臂吸样时样本针柱塞泵吸样堵针|When the sampling arm sucks the sample, the needle of the needle plunger pump is blocked
0x900D|样本臂吸样前样本针内压力值与设置的环境压力值相差大于100|The difference between the pressure value in the sampling needle before the sampling arm sucks the sample and the ambient pressure value is greater than 100
0x900A|样本臂吸样时Z轴电机第二次运动至复位位置复位光耦无效|When the sampling arm sucks the sample, the Z-axis motor moves to the reset position for the second time and the reset optical coupler is invalid
0x900B|样本臂吸样时Y轴电机运动至样本针清洗位置时编码器差值超48步以上|When the sampling arm sucks the sample and the Y-axis motor moves to the sampling needle cleaning position, the encoder difference exceeds 48 steps
0x900C|样本臂吸样时Y轴电机补偿运动后编码器差值超48步以上|When the sampling arm sucks the sample, the encoder difference exceeds 48 steps after the Y-axis moves for compensation
0x9010|样本臂清洗时Z轴电机运动至复位位置复位光耦无效|When the sampling arm is cleaning, the Z-axis motor moves to the reset position and the reset optical coupler is invalid
0x9011|样本臂清洗时Y轴电机运动至清洗位置时编码器差值超48步以上|When the sampling arm is cleaning and the Y-axis motor moves to the cleaning position, the encoder difference exceeds 48 steps
0x9012|样本臂清洗时Y轴电机补偿运动后编码器差值超48步以上|When the sampling arm is cleaning, the encoder difference exceeds 48 steps after the Y-axis moves for compensation
0x9013|样本臂清洗时Z轴电机运动至清洗位置复位光耦有效|When the sampling arm is cleaning, the Z-axis motor moves to the cleaning position and the reset optical coupler is valid
0x9014|样本臂清洗时样本针柱塞泵运动至复位位置复位光耦无效|When the sampling arm is cleaning, the sampling needle plunger pump moves to the reset position and the reset optical coupler is invalid
0x9015|样本臂清洗时Z轴电机第二次运动至复位位置复位光耦无效|When the sampling arm is cleaning, the Z-axis motor moves to the reset position for the second time and the reset optical coupler is invalid
0x9016|清洗针下降时垂直碰撞|Vertical collision occurs when the cleaning needle is falling
0x9018|样本臂吐样时Z轴电机运动至复位位置复位光耦无效|When the sampling arm discharges the sample, the Z-axis motor moves to the reset position and the reset optical coupler is invalid
0x9019|样本臂吐样时X轴电机运动至吐样位时编码器差值超48步以上|When the sampling arm discharges the sample and the X-axis motor moves to the sample discharge position, the encoder difference exceeds 48 steps
0x901A|样本臂吐样时X轴电机补偿运动后编码器差值超48步以上|When the sampling arm discharges the sample, the encoder difference exceeds 48 steps after the X-axis motor moves for compensation
0x901B|样本臂吐样时摇床电机运动至吸液位置复位光耦有效|When the sampling arm discharges the sample, the shaking table motor moves to the liquid suction position and the reset optical coupler is valid
0x901C|样本臂吐样时Y轴电机运动至吐样位置时编码器差值超48步以上|When the sampling arm discharges the sample and the Y-axis motor moves to the sample discharge position, the encoder difference exceeds 48 steps
0x901D|样本臂吐样时Y轴电机补偿运动后编码器差值超48步以上|When the sampling arm discharges the sample, the encoder difference exceeds 48 steps after the Y-axis motor moves for compensation
0x901E|样本臂吐样时Z轴电机使能液位探测时右光电立即有效|When the sampling arm discharges the sample and the Z-axis motor enables the liquid level detection, the right photoelectric coupler is valid immediately
0x901F|样本臂吐样时Z轴电机运动至吐样位置发生垂直碰撞|When the sampling arm discharges the sample, the Z-axis motor moves to the sample discharge position and vertical collision occurs
0x9020|样本臂吐样时Z轴电机第二次运动至复位位置复位光耦无效|When the sampling arm discharges the sample, the Z-axis motor moves to the reset position for the second time and the reset optical coupler is invalid
0x9021|样本臂吐样时Y轴电机运动至样本针清洗位置时编码器差值超48步以上|When the sampling arm discharges the sample and the Y-axis motor moves to the sampling needle cleaning position, the encoder difference exceeds 48 steps
0x9022|样本臂吐样时Y轴电机补偿运动后编码器差值超48步以上|When the sampling arm discharges the sample, the encoder difference exceeds 48 steps after the Y-axis motor moves for compensation
0x9028|样本条码扫描时Z轴电机运动至复位位置复位光耦无效|When the sample barcode is scanned, the Z-axis motor moves to the reset position and the reset optical coupler is invalid
0x9029|样本条码扫描时Y轴电机运动至清洗位置时编码器差值超48步以上|When the sample barcode is scanned and the Y-axis motor moves to the cleaning position, the encoder difference exceeds 48 steps
0x902A|样本条码扫描时Y轴电机补偿运动后编码器差值超48步以上|When the sample barcode is scanned, the encoder difference exceeds 48 steps after the Y-axis motor moves for compensation
0x902B|样本条码扫描时X轴电机运动至扫描位时编码器差值超48步以上|When the sample barcode is scanned and the X-axis motor moves to the scan position, the encoder difference exceeds 48 steps
0x902C|样本条码扫描时X轴电机补偿运动后编码器差值超48步以上|When the sample barcode is scanned, the encoder difference exceeds 48 steps after the X-axis motor moves for compensation
0x9030|相机校准时Z轴电机运动至复位位置复位光耦无效|When the camera is calibrated, the Z-axis motor moves to the reset position and the reset optical coupler is invalid
0x9031|相机校准时Y轴电机运动至样本针清洗位置时编码器差值超48步以上|When the camera is calibrated and the Y-axis motor moves to the sampling needle cleaning position, the encoder difference exceeds 48 steps
0x9032|相机校准时Y轴电机补偿运动后编码器差值超48步以上|When the camera is calibrated, the encoder difference exceeds 48 steps after the Y-axis motor moves for compensation
0x9033|相机校准时X轴电机运动至相机校准位时编码器差值超48步以上|When the camera is calibrated and the X-axis motor moves to the camera calibration position, the encoder difference exceeds 48 steps
0x9034|相机校准时X轴电机补偿运动后编码器差值超48步以上|When the camera is calibrated, the encoder difference exceeds 48 steps after the X-axis motor moves for compensation
0x9038|排废液及蠕动泵加液时Z轴电机运动至复位位置复位光耦无效|When waste liquid is discharged and the peristaltic pump fills liquid, the Z-axis motor moves to the reset position and the reset optical coupler is invalid
0x9039|排废液及蠕动泵加液时Y轴电机运动至样本针清洗位置时编码器差值超48步以上|When waste liquid is discharged and the peristaltic pump fills liquid and the Y-axis motor moves to the sampling needle cleaning position, the encoder difference exceeds 48 steps
0x903A|排废液及蠕动泵加液时Y轴电机补偿运动后编码器差值超48步以上|When waste liquid is discharged and the peristaltic pump fills liquid, the encoder difference exceeds 48 steps after the Y-axis motor moves for compensation
0x903B|排废液及蠕动泵加液时摇床电机运动至吸液位置复位光耦有效|When waste liquid is discharged and the peristaltic pump fills liquid, the shaking table motor moves to the liquid suction position and the reset optical coupler is valid
0x903C|排废液及蠕动泵加液时X轴电机运动至排液位时编码器差值超48步以上|When waste liquid is discharged and the peristaltic pump fills liquid and the X-axis motor moves to the liquid discharge position, the encoder difference exceeds 48 steps
0x903D|排废液及蠕动泵加液时X轴电机补偿运动后编码器差值超48步以上|When waste liquid is discharged and the peristaltic pump fills liquid, the encoder difference exceeds 48 steps after the X-axis motor moves for compensation
0x903E|排废液及蠕动泵加液时Y轴电机运动至废液槽触发抽废液位置时编码器差值超48步以上|When waste liquid is discharged and the peristaltic pump fills liquid and the Y-axis motor moves to the location of waste liquid tank and triggers the pumping of waste liquid, the encoder difference exceeds 48 steps
0x903F|排废液及蠕动泵加液时Y轴电机补偿运动后编码器差值超48步以上|When waste liquid is discharged and the peristaltic pump fills liquid, the encoder difference exceeds 48 steps after the Y-axis motor moves for compensation
0x9040|排废液及蠕动泵加液时Y轴电机第二次运动至样本针清洗位置时编码器差值超48步以上|When waste liquid is discharged and the peristaltic pump fills liquid and the Y-axis motor moves to the sampling needle cleaning position for the second time, the encoder difference exceeds 48 steps
0x9041|排废液及蠕动泵加液时Y轴电机补偿运动后编码器差值超48步以上|When waste liquid is discharged and the peristaltic pump fills liquid, the encoder difference exceeds 48 steps after the Y-axis motor moves for compensation
0x9048|蠕动泵充灌时Z轴电机运动至复位位置复位光耦无效|When peristaltic pump fills liquid, the Z-axis motor moves to the reset position and the reset optical coupler is invalid
0x9049|蠕动泵充灌时Y轴电机运动至样本针清洗位置时编码器差值超48步以上|When peristaltic pump fills liquid and the Y-axis motor moves to the sampling needle cleaning position, the encoder difference exceeds 48 steps
0x904A|蠕动泵充灌时Y轴电机补偿运动后编码器差值超48步以上|When peristaltic pump fills liquid, the encoder difference exceeds 48 steps after the Y-axis motor moves for compensation
0x904B|蠕动泵充灌时X轴电机运动至复位位置复位光耦无效|When peristaltic pump fills liquid, the X-axis motor moves to the reset position and the reset optical coupler is invalid
0x904C|蠕动泵充灌时Y轴电机运动至废液槽触发抽废液位置时编码器差值超48步以上|When peristaltic pump fills liquid and the Y-axis motor moves to the location of waste liquid tank and triggers the pumping of waste liquid, the encoder difference exceeds 48 steps
0x904D|蠕动泵充灌时Y轴电机补偿运动后编码器差值超48步以上|When peristaltic pump fills liquid, the encoder difference exceeds 48 steps after the Y-axis motor moves for compensation
0x904E|蠕动泵充灌时Y轴电机第二次运动至样本针清洗位置时编码器差值超48步以上|When peristaltic pump fills liquid and the Y-axis motor moves to the sampling needle cleaning position for the second time, the encoder difference exceeds 48 steps
0x904F|蠕动泵充灌时Y轴电机补偿运动后编码器差值超48步以上|When peristaltic pump fills liquid, the encoder difference exceeds 48 steps after the Y-axis motor moves for compensation
0x9050|扫码器自检时Z轴电机运动至复位位置复位光耦无效|When the code scanner performs self-checking, the Z-axis motor moves to the reset position and the reset optical coupler is invalid
0x9051|扫码器自检时Y轴电机运动至清洗位置时编码器差值超48步以上|When the code scanner performs self-checking and the Y-axis motor moves to the cleaning position, the encoder difference exceeds 48 steps
0x9052|扫码器自检时Y轴电机补偿运动后编码器差值超48步以上|When the code scanner performs self-checking, the encoder difference exceeds 48 steps after the Y-axis motor moves for compensation
0x9053|扫码器自检时X轴电机运动至复位位置复位光耦无效|When the code scanner performs self-checking, the X-axis motor moves to the reset position and the reset optical coupler is invalid
0x9058|蠕动泵校准时Z轴电机运动至复位位置复位光耦无效|When peristaltic pump is calibrated, the Z-axis motor moves to the reset position and the reset optical coupler is invalid
0x9059|蠕动泵校准时X轴电机运动至复位位置复位光耦无效|When peristaltic pump is calibrated, the X-axis motor moves to the reset position and the reset optical coupler is invalid
0x905A|蠕动泵校准时Y轴电机运动至复位位置复位光耦无效|When peristaltic pump is calibrated, the Y-axis motor moves to the reset position and the reset optical coupler is invalid
0x905B|蠕动泵校准时Y轴电机运动至废液槽触发抽废液位置时编码器差值超48步以上|When peristaltic pump is calibrated and the Y-axis motor moves to the location of waste liquid tank and triggers the pumping of waste liquid, the encoder difference exceeds 48 steps
0x905C|蠕动泵校准时Y轴电机补偿运动后编码器差值超48步以上|When peristaltic pump is calibrated, the encoder difference exceeds 48 steps after the Y-axis motor moves for compensation
0x905D|蠕动泵校准时Y轴电机运动至样本针清洗位置时编码器差值超48步以上|When peristaltic pump is calibrated and the Y-axis motor moves to the sampling needle cleaning position, the encoder difference exceeds 48 steps
0x905E|蠕动泵校准时Y轴电机运动至样本针清洗位置补偿运动后编码器差值超48步以上|When peristaltic pump is calibrated, the encoder difference exceeds 48 steps after the Y-axis motor moves to the sampling needle cleaning position for compensation
0x905F|蠕动泵校准时Y轴电机第二次运动至复位位置复位光耦无效|When peristaltic pump is calibrated, the X-axis motor moves to the reset position for the second time and the reset optical coupler is invalid
0x9060|蠕动泵校准时Z轴电机使能液位探测时右光电立即有效|When peristaltic pump is calibrated and the Z-axis motor enables the liquid level detection, the right photoelectric coupler is valid immediately
0x9061|蠕动泵校准时Z轴电机运动至废液槽高度位置复位光耦有效|When peristaltic pump is calibrated, the Z-axis motor moves to the height position of waste liquid tank and the reset optical coupler is valid
0x9062|蠕动泵校准时Z轴电机第二次运动至复位位置复位光耦无效|When peristaltic pump is calibrated, the Z-axis motor moves to the reset position for the second time and the reset optical coupler is invalid
0x9063|蠕动泵校准时Z轴电机第二次使能液位探测时右光电立即有效|When peristaltic pump is calibrated and the Z-axis motor enables the liquid level detection for the second time, the right photoelectric coupler is valid immediately
0x9064|蠕动泵校准时Z轴电机第二次运动至废液槽高度位置复位光耦有效|When peristaltic pump is calibrated, the Z-axis motor moves to the height position of waste liquid tank for the second time and the reset optical coupler is valid
0x9065|蠕动泵校准时Z轴电机第三次运动至复位位置复位光耦无效|When peristaltic pump is calibrated, the Z-axis motor moves to the reset position for the third time and the reset optical coupler is invalid
